Grid_Number,Del_popu_Connectivity
177,-1.0
178,-1.0
179,-1.0
180,-1.0
181,-1.0
182,-1.0
183,-1.0
184,-1.0
185,-1.0
186,-1.0
187,-1.0
188,-1.0
189,-1.0
190,-1.0
191,-1.0
192,-1.0
193,-1.0
194,-1.0
195,-1.0
196,-1.0
197,-1.0
198,-1.0
199,-1.0
200,-1.0
201,-1.0
202,-1.0
203,-1.0
204,-1.0
205,-1.0
206,-1.0
207,-1.0
208,-1.0
209,-1.0
210,-1.0
211,-1.0
212,237.0
213,-1.0
214,-1.0
215,12292.0
216,-1.0
217,-1.0
218,-1.0
219,-1.0
220,-1.0
221,-1.0
222,-1.0
223,-1.0
224,-1.0
225,-1.0
226,-1.0
227,-1.0
228,-1.0
229,-1.0
230,-1.0
231,-1.0
232,-1.0
233,-1.0
234,-1.0
235,-1.0
236,-1.0
237,-1.0
238,-1.0
239,-1.0
240,-1.0
241,-1.0
242,-1.0
243,-1.0
244,-1.0
245,-1.0
246,-1.0
247,-1.0
248,-1.0
249,-1.0
250,-1.0
251,-1.0
252,-1.0
253,-1.0
254,-1.0
255,-1.0
256,-1.0
257,-1.0
258,-1.0
259,-1.0
260,-1.0
261,-1.0
262,-1.0
263,-1.0
264,12292.0
265,-1.0
266,-1.0
267,-1.0
268,-1.0
269,-1.0
270,-1.0
271,-1.0
272,-1.0
273,-1.0
274,-1.0
275,-1.0
276,-1.0
277,-1.0
278,-1.0
279,-1.0
280,-1.0
281,-1.0
282,-1.0
283,-1.0
284,-1.0
285,-1.0
286,-1.0
287,-1.0
288,-1.0
289,-1.0
290,-1.0
291,-1.0
292,-1.0
293,-1.0
294,-1.0
295,-1.0
296,-1.0
297,-1.0
298,-1.0
299,-1.0
300,-1.0
301,-1.0
302,-1.0
303,-1.0
304,-1.0
305,-1.0
306,-1.0
307,-1.0
308,-1.0
309,-1.0
310,-1.0
311,-1.0
312,-1.0
313,-1.0
314,-1.0
315,-1.0
316,-1.0
317,-1.0
318,-1.0
319,-1.0
320,-1.0
321,-1.0
322,-1.0
323,-1.0
324,-1.0
325,-1.0
326,-1.0
327,-1.0
328,-1.0
329,-1.0
330,-1.0
331,-1.0
332,-1.0
333,-1.0
334,-1.0
335,-1.0
336,-1.0
337,-1.0
338,-1.0
339,-1.0
340,-1.0
341,-1.0
342,-1.0
343,-1.0
344,-1.0
345,-1.0
346,-1.0
347,-1.0
348,-1.0
349,-1.0
350,-1.0
351,-1.0
352,-1.0
353,-1.0
354,-1.0
355,-1.0
356,33231.0
357,-1.0
358,-1.0
359,-1.0
360,-1.0
361,-1.0
362,-1.0
363,-1.0
364,-1.0
365,-1.0
366,-1.0
367,-1.0
368,-1.0
369,-1.0
370,-1.0
371,-1.0
372,-1.0
373,-1.0
374,-1.0
375,-1.0
376,-1.0
377,-1.0
378,-1.0
379,-1.0
380,-1.0
381,-1.0
382,-1.0
383,-1.0
384,-1.0
385,-1.0
386,-1.0
387,-1.0
388,-1.0
389,-1.0
390,-1.0
391,-1.0
392,-1.0
393,-1.0
394,-1.0
395,-1.0
396,-1.0
397,-1.0
398,-1.0
399,-1.0
400,-1.0
401,-1.0
402,-1.0
403,-1.0
404,-1.0
405,33231.0
406,-1.0
407,-1.0
408,-1.0
409,-1.0
410,-1.0
411,45717.0
412,-1.0
413,-1.0
414,-1.0
415,-1.0
416,-1.0
417,-1.0
418,-1.0
419,-1.0
420,-1.0
421,-1.0
422,-1.0
423,-1.0
424,-1.0
425,-1.0
426,-1.0
427,-1.0
428,-1.0
429,-1.0
430,-1.0
431,-1.0
432,-1.0
433,-1.0
434,-1.0
435,-1.0
436,-1.0
437,-1.0
438,-1.0
439,-1.0
440,-1.0
441,-1.0
442,-1.0
443,-1.0
444,-1.0
445,-1.0
446,-1.0
447,-1.0
448,-1.0
449,-1.0
450,-1.0
451,-1.0
452,-1.0
453,-1.0
454,-1.0
455,-1.0
456,-1.0
457,-1.0
458,-1.0
459,-1.0
460,45717.0
461,-1.0
462,-1.0
463,-1.0
464,-1.0
465,-1.0
466,-1.0
467,-1.0
468,-1.0
469,-1.0
470,-1.0
471,85329.0
472,-1.0
473,-1.0
474,-1.0
475,-1.0
476,-1.0
477,-1.0
478,-1.0
479,-1.0
480,-1.0
481,-1.0
482,-1.0
483,-1.0
484,-1.0
485,-1.0
486,-1.0
487,-1.0
488,-1.0
489,-1.0
490,-1.0
491,-1.0
492,-1.0
493,-1.0
494,-1.0
495,-1.0
496,-1.0
497,-1.0
498,-1.0
499,-1.0
500,-1.0
501,-1.0
502,-1.0
503,-1.0
504,-1.0
505,-1.0
506,-1.0
507,-1.0
508,-1.0
509,-1.0
510,-1.0
511,-1.0
512,-1.0
513,-1.0
514,-1.0
515,-1.0
516,-1.0
517,-1.0
518,-1.0
519,-1.0
520,18503.0
521,-1.0
522,-1.0
523,-1.0
524,-1.0
525,-1.0
526,-1.0
527,-1.0
528,-1.0
529,-1.0
530,-1.0
531,-1.0
532,-1.0
533,-1.0
534,-1.0
535,-1.0
536,-1.0
537,-1.0
538,-1.0
539,-1.0
540,-1.0
541,-1.0
542,-1.0
543,-1.0
544,-1.0
545,-1.0
546,-1.0
547,-1.0
548,-1.0
549,-1.0
550,-1.0
551,-1.0
552,-1.0
553,-1.0
554,-1.0
555,-1.0
556,-1.0
557,-1.0
558,-1.0
559,-1.0
560,-1.0
561,-1.0
562,-1.0
563,-1.0
564,-1.0
565,-1.0
566,-1.0
567,92831.0
568,-1.0
569,18503.0
570,-1.0
571,-1.0
572,-1.0
573,-1.0
574,56339.0
575,-1.0
576,-1.0
577,-1.0
578,-1.0
579,-1.0
580,-1.0
581,-1.0
582,-1.0
583,-1.0
584,-1.0
585,-1.0
586,-1.0
587,-1.0
588,-1.0
589,-1.0
590,-1.0
591,-1.0
592,-1.0
593,-1.0
594,-1.0
595,-1.0
596,-1.0
597,-1.0
598,-1.0
599,-1.0
600,-1.0
601,-1.0
602,-1.0
603,-1.0
604,-1.0
605,-1.0
606,8342.0
607,-1.0
608,58903.0
609,-1.0
610,-1.0
611,-1.0
612,-1.0
613,-1.0
614,-1.0
615,73917.0
616,92831.0
617,92831.0
618,-1.0
619,-1.0
620,-1.0
621,-1.0
622,-1.0
623,-1.0
624,-1.0
625,-1.0
626,-1.0
627,-1.0
628,-1.0
629,-1.0
630,-1.0
631,-1.0
632,-1.0
633,-1.0
634,-1.0
635,-1.0
636,-1.0
637,-1.0
638,-1.0
639,-1.0
640,-1.0
641,-1.0
642,-1.0
643,-1.0
644,-1.0
645,-1.0
646,-1.0
647,-1.0
648,-1.0
649,-1.0
650,-1.0
651,-1.0
652,-1.0
653,-1.0
654,-1.0
655,8342.0
656,-1.0
657,50738.0
658,-1.0
659,-1.0
660,-1.0
661,-1.0
662,-1.0
663,-1.0
664,73917.0
665,-1.0
666,-1.0
667,-1.0
668,-1.0
669,21200.0
670,-1.0
671,15238.0
672,-1.0
673,-1.0
674,-1.0
675,-1.0
676,-1.0
677,-1.0
678,-1.0
679,-1.0
680,-1.0
681,-1.0
682,-1.0
683,-1.0
684,-1.0
685,-1.0
686,-1.0
687,-1.0
688,-1.0
689,-1.0
690,-1.0
691,-1.0
692,-1.0
693,-1.0
694,-1.0
695,-1.0
696,-1.0
697,-1.0
698,-1.0
699,-1.0
700,-1.0
701,-1.0
702,18129.0
703,-1.0
704,-1.0
705,-1.0
706,50738.0
707,46116.0
708,-1.0
709,-1.0
710,-1.0
711,-1.0
712,-1.0
713,-1.0
714,-1.0
715,-1.0
716,-1.0
717,-1.0
718,-1.0
719,-1.0
720,-1.0
721,-1.0
722,-1.0
723,-1.0
724,-1.0
725,-1.0
726,-1.0
727,-1.0
728,-1.0
729,-1.0
730,-1.0
731,-1.0
732,-1.0
733,-1.0
734,-1.0
735,-1.0
736,-1.0
737,22203.0
738,-1.0
739,-1.0
740,-1.0
741,41394.0
742,-1.0
743,-1.0
744,-1.0
745,-1.0
746,-1.0
747,-1.0
748,-1.0
749,-1.0
750,-1.0
751,-1.0
752,-1.0
753,-1.0
754,-1.0
755,61727.0
756,21135.0
757,-1.0
758,-1.0
759,-1.0
760,-1.0
761,-1.0
762,24556.0
763,15607.0
764,-1.0
765,12357.0
766,12357.0
767,-1.0
768,-1.0
769,-1.0
770,-1.0
771,-1.0
772,-1.0
773,-1.0
774,-1.0
775,-1.0
776,-1.0
777,-1.0
778,-1.0
779,-1.0
780,-1.0
781,-1.0
782,-1.0
783,-1.0
784,-1.0
785,27892.0
786,22203.0
787,-1.0
788,33957.0
789,-1.0
790,-1.0
791,-1.0
792,-1.0
793,-1.0
794,-1.0
795,-1.0
796,-1.0
797,-1.0
798,-1.0
799,-1.0
800,-1.0
801,-1.0
802,-1.0
803,-1.0
804,-1.0
805,60097.0
806,-1.0
807,15421.0
808,-1.0
809,-1.0
810,720.0
811,8128.0
812,15480.0
813,31221.0
814,-1.0
815,-1.0
816,-1.0
817,-1.0
818,-1.0
819,-1.0
820,-1.0
821,-1.0
822,-1.0
823,-1.0
824,80773.0
825,-1.0
826,-1.0
827,-1.0
828,-1.0
829,-1.0
830,-1.0
831,-1.0
832,-1.0
833,-1.0
834,-1.0
835,27892.0
836,35627.0
837,29398.0
838,-1.0
839,-1.0
840,39948.0
841,17424.0
842,24183.0
843,-1.0
844,-1.0
845,-1.0
846,-1.0
847,-1.0
848,-1.0
849,-1.0
850,-1.0
851,52023.0
852,-1.0
853,-1.0
854,31237.0
855,42322.0
856,15421.0
857,-1.0
858,-1.0
859,-1.0
860,8128.0
861,-1.0
862,-1.0
863,-1.0
864,-1.0
865,1582.0
866,-1.0
867,-1.0
868,-1.0
869,-1.0
870,-1.0
871,-1.0
872,-1.0
873,-1.0
874,-1.0
875,-1.0
876,-1.0
877,-1.0
878,-1.0
879,-1.0
880,-1.0
881,-1.0
882,-1.0
883,-1.0
884,-1.0
885,35627.0
886,15248.0
887,-1.0
888,10559.0
889,19702.0
890,21796.0
891,8433.0
892,-1.0
893,-1.0
894,-1.0
895,-1.0
896,31245.0
897,-1.0
898,-1.0
899,-1.0
900,52023.0
901,18294.0
902,12550.0
903,20224.0
904,42322.0
905,-1.0
906,30720.0
907,15108.0
908,8309.0
909,-1.0
910,-1.0
911,-1.0
912,-1.0
913,-1.0
914,-1.0
915,-1.0
916,-1.0
917,-1.0
918,-1.0
919,-1.0
920,-1.0
921,-1.0
922,9179.0
923,-1.0
924,-1.0
925,-1.0
926,-1.0
927,-1.0
928,-1.0
929,-1.0
930,-1.0
931,-1.0
932,-1.0
933,-1.0
934,-1.0
935,23609.0
936,16680.0
937,16517.0
938,18072.0
939,21796.0
940,17029.0
941,-1.0
942,21128.0
943,-1.0
944,-1.0
945,31245.0
946,-1.0
947,23091.0
948,-1.0
949,-1.0
950,11439.0
951,6573.0
952,20224.0
953,8425.0
954,-1.0
955,86073.0
956,-1.0
957,-1.0
958,-1.0
959,89183.0
960,14224.0
961,-1.0
962,-1.0
963,-1.0
964,-1.0
965,-1.0
966,-1.0
967,-1.0
968,-1.0
969,-1.0
970,-1.0
971,9179.0
972,-1.0
973,-1.0
974,-1.0
975,-1.0
976,-1.0
977,-1.0
978,-1.0
979,-1.0
980,-1.0
981,12206.0
982,8790.0
983,6336.0
984,14342.0
985,16680.0
986,17694.0
987,22936.0
988,-1.0
989,-1.0
990,22959.0
991,48279.0
992,-1.0
993,-1.0
994,-1.0
995,-1.0
996,23091.0
997,23091.0
998,19637.0
999,17010.0
1000,11608.0
1001,17755.0
1002,32353.0
1003,-1.0
1004,86073.0
1005,-1.0
1006,-1.0
1007,-1.0
1008,89183.0
1009,74719.0
1010,74719.0
1011,-1.0
1012,75267.0
1013,75267.0
1014,-1.0
1015,-1.0
1016,-1.0
1017,-1.0
1018,-1.0
1019,-1.0
1020,36471.0
1021,-1.0
1022,-1.0
1023,-1.0
1024,-1.0
1025,-1.0
1026,-1.0
1027,-1.0
1028,-1.0
1029,-1.0
1030,-1.0
1031,8790.0
1032,5899.0
1033,14040.0
1034,28811.0
1035,15761.0
1036,19218.0
1037,19218.0
1038,-1.0
1039,-1.0
1040,48279.0
1041,-1.0
1042,48201.0
1043,-1.0
1044,-1.0
1045,-1.0
1046,11502.0
1047,4730.0
1048,7065.0
1049,12787.0
1050,42810.0
1051,42810.0
1052,-1.0
1053,-1.0
1054,-1.0
1055,-1.0
1056,-1.0
1057,-1.0
1058,-1.0
1059,-1.0
1060,-1.0
1061,-1.0
1062,-1.0
1063,-1.0
1064,-1.0
1065,-1.0
1066,-1.0
1067,-1.0
1068,-1.0
1069,130851.0
1070,-1.0
1071,-1.0
1072,-1.0
1073,-1.0
1074,-1.0
1075,-1.0
1076,-1.0
1077,-1.0
1078,-1.0
1079,-1.0
1080,-1.0
1081,21465.0
1082,32469.0
1083,28811.0
1084,13408.0
1085,-1.0
1086,13047.0
1087,-1.0
1088,-1.0
1089,-1.0
1090,-1.0
1091,48201.0
1092,-1.0
1093,3043.0
1094,8574.0
1095,3647.0
1096,12551.0
1097,11403.0
1098,22398.0
1099,54332.0
1100,54332.0
1101,-1.0
1102,-1.0
1103,60774.0
1104,56329.0
1105,-1.0
1106,26595.0
1107,-1.0
1108,-1.0
1109,-1.0
1110,-1.0
1111,-1.0
1112,-1.0
1113,-1.0
1114,-1.0
1115,-1.0
1116,-1.0
1117,-1.0
1118,95799.0
1119,-1.0
1120,-1.0
1121,-1.0
1122,-1.0
1123,-1.0
1124,-1.0
1125,-1.0
1126,-1.0
1127,-1.0
1128,-1.0
1129,-1.0
1130,-1.0
1131,-1.0
1132,9951.0
1133,-1.0
1134,15493.0
1135,-1.0
1136,22905.0
1137,28189.0
1138,-1.0
1139,-1.0
1140,-1.0
1141,-1.0
1142,7150.0
1143,8912.0
1144,2409.0
1145,11731.0
1146,11910.0
1147,14423.0
1148,41329.0
1149,34173.0
1150,-1.0
1151,-1.0
1152,-1.0
1153,42857.0
1154,-1.0
1155,56082.0
1156,-1.0
1157,-1.0
1158,-1.0
1159,164281.0
1160,-1.0
1161,-1.0
1162,-1.0
1163,-1.0
1164,-1.0
1165,-1.0
1166,-1.0
1167,-1.0
1168,-1.0
1169,-1.0
1170,-1.0
1171,-1.0
1172,-1.0
1173,-1.0
1174,-1.0
1175,-1.0
1176,-1.0
1177,-1.0
1178,16960.0
1179,-1.0
1180,12879.0
1181,1926.0
1182,18904.0
1183,4317.0
1184,14496.0
1185,4773.0
1186,28189.0
1187,-1.0
1188,-1.0
1189,-1.0
1190,-1.0
1191,22711.0
1192,22711.0
1193,7922.0
1194,11731.0
1195,46558.0
1196,-1.0
1197,36578.0
1198,11421.0
1199,47381.0
1200,47381.0
1201,-1.0
1202,42857.0
1203,46100.0
1204,48769.0
1205,-1.0
1206,90173.0
1207,-1.0
1208,-1.0
1209,-1.0
1210,-1.0
1211,-1.0
1212,-1.0
1213,-1.0
1214,-1.0
1215,-1.0
1216,-1.0
1217,-1.0
1218,-1.0
1219,-1.0
1220,-1.0
1221,-1.0
1222,-1.0
1223,-1.0
1224,-1.0
1225,-1.0
1226,2031.0
1227,2089.0
1228,13937.0
1229,7045.0
1230,15184.0
1231,-1.0
1232,9296.0
1233,14580.0
1234,1551.0
1235,53619.0
1236,-1.0
1237,-1.0
1238,38858.0
1239,-1.0
1240,23109.0
1241,-1.0
1242,-1.0
1243,45752.0
1244,45752.0
1245,51028.0
1246,40044.0
1247,30323.0
1248,25299.0
1249,29158.0
1250,15750.0
1251,16627.0
1252,46100.0
1253,48769.0
1254,51423.0
1255,107737.0
1256,107737.0
1257,-1.0
1258,-1.0
1259,-1.0
1260,-1.0
1261,-1.0
1262,-1.0
1263,-1.0
1264,-1.0
1265,-1.0
1266,-1.0
1267,-1.0
1268,-1.0
1269,42354.0
1270,-1.0
1271,-1.0
1272,-1.0
1273,-1.0
1274,-1.0
1275,3013.0
1276,1083.0
1277,3094.0
1278,11529.0
1279,12115.0
1280,19521.0
1281,5823.0
1282,4484.0
1283,4731.0
1284,18601.0
1285,-1.0
1286,-1.0
1287,18780.0
1288,-1.0
1289,32302.0
1290,-1.0
1291,-1.0
1292,30378.0
1293,-1.0
1294,-1.0
1295,-1.0
1296,59829.0
1297,27334.0
1298,-1.0
1299,51335.0
1300,9130.0
1301,6605.0
1302,14075.0
1303,16081.0
1304,-1.0
1305,-1.0
1306,-1.0
1307,-1.0
1308,-1.0
1309,-1.0
1310,-1.0
1311,-1.0
1312,-1.0
1313,-1.0
1314,-1.0
1315,-1.0
1316,110517.0
1317,-1.0
1318,-1.0
1319,-1.0
1320,-1.0
1321,-1.0
1322,-1.0
1323,1736.0
1324,1026.0
1325,4167.0
1326,6690.0
1327,11529.0
1328,3849.0
1329,19521.0
1330,17134.0
1331,18568.0
1332,-1.0
1333,-1.0
1334,-1.0
1335,-1.0
1336,36919.0
1337,-1.0
1338,-1.0
1339,-1.0
1340,58173.0
1341,-1.0
1342,-1.0
1343,-1.0
1344,-1.0
1345,59829.0
1346,11567.0
1347,28771.0
1348,-1.0
1349,33218.0
1350,13636.0
1351,6640.0
1352,34425.0
1353,25330.0
1354,20456.0
1355,102447.0
1356,-1.0
1357,-1.0
1358,-1.0
1359,-1.0
1360,-1.0
1361,-1.0
1362,59651.0
1363,59651.0
1364,-1.0
1365,110517.0
1366,-1.0
1367,-1.0
1368,-1.0
1369,-1.0
1370,-1.0
1371,-1.0
1372,-1.0
1373,-1.0
1374,-1.0
1375,-1.0
1376,-1.0
1377,3849.0
1378,-1.0
1379,-1.0
1380,18568.0
1381,-1.0
1382,-1.0
1383,-1.0
1384,-1.0
1385,15978.0
1386,11991.0
1387,28260.0
1388,18911.0
1389,58173.0
1390,-1.0
1391,-1.0
1392,97003.0
1393,97003.0
1394,39491.0
1395,-1.0
1396,11452.0
1397,-1.0
1398,49496.0
1399,24343.0
1400,20067.0
1401,33216.0
1402,28104.0
1403,17374.0
1404,-1.0
1405,-1.0
1406,-1.0
1407,-1.0
1408,-1.0
1409,59881.0
1410,-1.0
1411,-1.0
1412,-1.0
1413,-1.0
1414,-1.0
1415,-1.0
1416,-1.0
1417,-1.0
1418,-1.0
1419,-1.0
1420,-1.0
1421,-1.0
1422,-1.0
1423,-1.0
1424,-1.0
1425,-1.0
1426,-1.0
1427,-1.0
1428,65736.0
1429,20542.0
1430,-1.0
1431,-1.0
1432,-1.0
1433,-1.0
1434,-1.0
1435,20248.0
1436,-1.0
1437,20461.0
1438,-1.0
1439,-1.0
1440,-1.0
1441,-1.0
1442,-1.0
1443,30241.0
1444,33439.0
1445,40479.0
1446,58175.0
1447,42963.0
1448,46839.0
1449,46839.0
1450,20225.0
1451,6831.0
1452,24774.0
1453,21514.0
1454,63455.0
1455,74210.0
1456,-1.0
1457,-1.0
1458,-1.0
1459,-1.0
1460,-1.0
1461,-1.0
1462,-1.0
1463,-1.0
1464,-1.0
1465,-1.0
1466,-1.0
1467,-1.0
1468,-1.0
1469,-1.0
1470,-1.0
1471,-1.0
1472,-1.0
1473,-1.0
1474,-1.0
1475,-1.0
1476,-1.0
1477,65736.0
1478,22583.0
1479,22583.0
1480,-1.0
1481,-1.0
1482,10490.0
1483,2258.0
1484,10763.0
1485,-1.0
1486,-1.0
1487,-1.0
1488,86629.0
1489,84701.0
1490,-1.0
1491,51848.0
1492,-1.0
1493,24624.0
1494,27547.0
1495,58175.0
1496,68351.0
1497,-1.0
1498,26842.0
1499,14904.0
1500,7294.0
1501,37776.0
1502,21514.0
1503,21643.0
1504,3477.0
1505,-1.0
1506,-1.0
1507,149762.0
1508,149762.0
1509,-1.0
1510,-1.0
1511,-1.0
1512,-1.0
1513,-1.0
1514,-1.0
1515,-1.0
1516,-1.0
1517,-1.0
1518,-1.0
1519,-1.0
1520,-1.0
1521,-1.0
1522,-1.0
1523,-1.0
1524,-1.0
1525,-1.0
1526,-1.0
1527,-1.0
1528,38527.0
1529,-1.0
1530,-1.0
1531,11184.0
1532,3912.0
1533,4097.0
1534,-1.0
1535,-1.0
1536,-1.0
1537,86629.0
1538,-1.0
1539,-1.0
1540,51848.0
1541,11972.0
1542,24850.0
1543,10501.0
1544,28982.0
1545,26314.0
1546,60375.0
1547,60375.0
1548,4074.0
1549,38990.0
1550,-1.0
1551,-1.0
1552,50411.0
1553,26927.0
1554,-1.0
1555,-1.0
1556,-1.0
1557,-1.0
1558,-1.0
1559,-1.0
1560,-1.0
1561,-1.0
1562,-1.0
1563,-1.0
1564,-1.0
1565,-1.0
1566,-1.0
1567,-1.0
1568,-1.0
1569,-1.0
1570,-1.0
1571,-1.0
1572,-1.0
1573,-1.0
1574,-1.0
1575,-1.0
1576,-1.0
1577,34220.0
1578,-1.0
1579,-1.0
1580,21370.0
1581,13833.0
1582,-1.0
1583,-1.0
1584,-1.0
1585,-1.0
1586,-1.0
1587,-1.0
1588,28995.0
1589,-1.0
1590,9274.0
1591,-1.0
1592,16271.0
1593,14062.0
1594,59517.0
1595,-1.0
1596,49028.0
1597,29307.0
1598,-1.0
1599,-1.0
1600,37979.0
1601,59391.0
1602,59391.0
1603,93876.0
1604,93876.0
1605,-1.0
1606,-1.0
1607,-1.0
1608,-1.0
1609,-1.0
1610,-1.0
1611,-1.0
1612,-1.0
1613,-1.0
1614,-1.0
1615,-1.0
1616,-1.0
1617,-1.0
1618,-1.0
1619,-1.0
1620,-1.0
1621,-1.0
1622,-1.0
1623,-1.0
1624,-1.0
1625,-1.0
1626,47541.0
1627,47541.0
1628,-1.0
1629,44855.0
1630,5703.0
1631,-1.0
1632,64531.0
1633,-1.0
1634,76934.0
1635,-1.0
1636,14860.0
1637,28995.0
1638,-1.0
1639,10927.0
1640,-1.0
1641,26459.0
1642,23456.0
1643,59517.0
1644,-1.0
1645,44952.0
1646,33877.0
1647,60466.0
1648,22470.0
1649,29894.0
1650,60878.0
1651,-1.0
1652,-1.0
1653,101139.0
1654,-1.0
1655,-1.0
1656,-1.0
1657,-1.0
1658,-1.0
1659,-1.0
1660,-1.0
1661,-1.0
1662,-1.0
1663,-1.0
1664,-1.0
1665,-1.0
1666,-1.0
1667,-1.0
1668,-1.0
1669,-1.0
1670,-1.0
1671,-1.0
1672,-1.0
1673,-1.0
1674,-1.0
1675,-1.0
1676,61140.0
1677,-1.0
1678,20752.0
1679,5703.0
1680,-1.0
1681,25307.0
1682,36809.0
1683,19407.0
1684,20193.0
1685,40860.0
1686,-1.0
1687,-1.0
1688,10927.0
1689,33667.0
1690,13830.0
1691,-1.0
1692,74433.0
1693,48277.0
1694,-1.0
1695,68267.0
1696,26164.0
1697,12247.0
1698,87905.0
1699,-1.0
1700,-1.0
1701,-1.0
1702,101139.0
1703,-1.0
1704,-1.0
1705,-1.0
1706,-1.0
1707,-1.0
1708,-1.0
1709,-1.0
1710,-1.0
1711,-1.0
1712,-1.0
1713,-1.0
1714,-1.0
1715,-1.0
1716,-1.0
1717,-1.0
1718,-1.0
1719,-1.0
1720,-1.0
1721,210306.0
1722,210306.0
1723,-1.0
1724,-1.0
1725,-1.0
1726,34099.0
1727,20752.0
1728,25905.0
1729,25905.0
1730,-1.0
1731,56738.0
1732,37267.0
1733,56200.0
1734,-1.0
1735,-1.0
1736,-1.0
1737,-1.0
1738,-1.0
1739,29781.0
1740,8936.0
1741,18220.0
1742,48277.0
1743,-1.0
1744,-1.0
1745,38058.0
1746,22829.0
1747,87905.0
1748,-1.0
1749,-1.0
1750,-1.0
1751,-1.0
1752,-1.0
1753,-1.0
1754,-1.0
1755,40649.0
1756,-1.0
1757,-1.0
1758,-1.0
1759,-1.0
1760,-1.0
1761,-1.0
1762,-1.0
1763,-1.0
1764,-1.0
1765,-1.0
1766,-1.0
1767,-1.0
1768,-1.0
1769,-1.0
1770,-1.0
1771,-1.0
1772,-1.0
1773,-1.0
1774,-1.0
1775,-1.0
1776,5270.0
1777,21499.0
1778,12353.0
1779,30867.0
1780,-1.0
1781,63989.0
1782,37190.0
1783,29564.0
1784,32861.0
1785,-1.0
1786,-1.0
1787,-1.0
1788,54863.0
1789,6159.0
1790,15625.0
1791,-1.0
1792,-1.0
1793,-1.0
1794,60212.0
1795,-1.0
1796,-1.0
1797,-1.0
1798,-1.0
1799,-1.0
1800,-1.0
1801,-1.0
1802,-1.0
1803,-1.0
1804,-1.0
1805,-1.0
1806,-1.0
1807,-1.0
1808,-1.0
1809,-1.0
1810,-1.0
1811,-1.0
1812,-1.0
1813,-1.0
1814,-1.0
1815,-1.0
1816,-1.0
1817,-1.0
1818,-1.0
1819,-1.0
1820,-1.0
1821,-1.0
1822,-1.0
1823,110600.0
1824,22887.0
1825,19237.0
1826,18368.0
1827,9803.0
1828,30867.0
1829,32619.0
1830,63989.0
1831,24868.0
1832,43232.0
1833,36489.0
1834,59239.0
1835,42109.0
1836,35241.0
1837,24330.0
1838,6690.0
1839,16289.0
1840,38172.0
1841,98711.0
1842,-1.0
1843,48638.0
1844,33521.0
1845,-1.0
1846,143124.0
1847,143124.0
1848,-1.0
1849,-1.0
1850,-1.0
1851,-1.0
1852,-1.0
1853,-1.0
1854,-1.0
1855,-1.0
1856,-1.0
1857,-1.0
1858,-1.0
1859,-1.0
1860,-1.0
1861,-1.0
1862,-1.0
1863,-1.0
1864,-1.0
1865,-1.0
1866,-1.0
1867,-1.0
1868,-1.0
1869,-1.0
