Grid_Number,Gur_n_Connectivity
398,3.0
399,3.0
400,3.0
401,3.0
402,3.0
403,3.0
404,1.0
405,1.0
406,1.0
407,1.0
408,0.0
409,0.0
410,1.0
411,1.0
412,1.0
413,0.0
414,0.0
415,0.0
416,0.0
417,0.0
418,0.0
419,0.0
420,1.0
421,1.0
422,1.0
423,1.0
424,0.0
425,2.0
426,2.0
427,2.0
428,2.0
429,2.0
430,0.0
431,0.0
432,3.0
433,3.0
434,3.0
435,3.0
436,3.0
437,4.0
438,4.0
439,2.0
440,1.0
441,1.0
442,1.0
443,1.0
444,1.0
445,1.0
446,1.0
447,1.0
448,1.0
449,0.0
450,0.0
451,0.0
452,0.0
453,0.0
454,0.0
455,1.0
456,1.0
457,1.0
458,1.0
459,1.0
460,1.0
461,2.0
462,2.0
463,2.0
464,1.0
465,0.0
466,3.0
467,3.0
468,3.0
469,3.0
470,3.0
471,3.0
472,4.0
473,4.0
474,3.0
475,3.0
476,1.0
477,1.0
478,1.0
479,1.0
480,1.0
481,1.0
482,1.0
483,1.0
484,1.0
485,0.0
486,0.0
487,0.0
488,0.0
489,0.0
490,0.0
491,0.0
492,2.0
493,1.0
494,1.0
495,1.0
496,1.0
497,2.0
498,1.0
499,1.0
500,1.0
501,2.0
502,2.0
503,3.0
504,3.0
505,3.0
506,3.0
507,4.0
508,1.0
509,3.0
510,3.0
511,2.0
512,1.0
513,1.0
514,1.0
515,1.0
516,2.0
517,1.0
518,1.0
519,1.0
520,1.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,2.0
529,1.0
530,1.0
531,1.0
532,1.0
533,1.0
534,1.0
535,1.0
536,2.0
537,2.0
538,3.0
539,3.0
540,3.0
541,1.0
542,1.0
543,4.0
544,4.0
545,4.0
546,2.0
547,1.0
548,1.0
549,2.0
550,2.0
551,2.0
552,2.0
553,0.0
554,1.0
555,1.0
556,1.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,2.0
565,1.0
566,1.0
567,1.0
568,2.0
569,1.0
570,1.0
571,1.0
572,2.0
573,3.0
574,3.0
575,1.0
576,1.0
577,5.0
578,4.0
579,4.0
580,3.0
581,3.0
582,1.0
583,2.0
584,2.0
585,2.0
586,2.0
587,2.0
588,2.0
589,0.0
590,1.0
591,1.0
592,1.0
593,0.0
594,0.0
595,0.0
596,0.0
597,0.0
598,0.0
599,0.0
600,1.0
601,1.0
602,1.0
603,1.0
604,1.0
605,1.0
606,1.0
607,1.0
608,2.0
609,4.0
610,4.0
611,4.0
612,5.0
613,5.0
614,3.0
615,3.0
616,3.0
617,2.0
618,2.0
619,2.0
620,2.0
621,2.0
622,2.0
623,2.0
624,2.0
625,0.0
626,1.0
627,1.0
628,1.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,0.0
635,1.0
636,1.0
637,1.0
638,1.0
639,1.0
640,1.0
641,1.0
642,1.0
643,3.0
644,4.0
645,4.0
646,5.0
647,5.0
648,5.0
649,5.0
650,4.0
651,4.0
652,4.0
653,2.0
654,2.0
655,2.0
656,2.0
657,2.0
658,2.0
659,2.0
660,2.0
661,1.0
662,1.0
663,2.0
664,1.0
665,0.0
666,0.0
667,0.0
668,0.0
669,0.0
670,1.0
671,1.0
672,1.0
673,1.0
674,2.0
675,2.0
676,1.0
677,2.0
678,3.0
679,5.0
680,5.0
681,5.0
682,5.0
683,5.0
684,5.0
685,5.0
686,3.0
687,4.0
688,3.0
689,3.0
690,3.0
691,3.0
692,3.0
693,2.0
694,2.0
695,2.0
696,1.0
697,2.0
698,2.0
699,2.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,1.0
706,1.0
707,1.0
708,1.0
709,1.0
710,2.0
711,3.0
712,3.0
713,3.0
714,5.0
715,4.0
716,0.0
717,0.0
718,4.0
719,5.0
720,5.0
721,4.0
722,4.0
723,4.0
724,3.0
725,3.0
726,3.0
727,3.0
728,0.0
729,2.0
730,2.0
731,2.0
732,2.0
733,2.0
734,2.0
735,0.0
736,0.0
737,0.0
738,0.0
739,2.0
740,1.0
741,1.0
742,1.0
743,0.0
744,0.0
745,2.0
746,3.0
747,3.0
748,3.0
749,3.0
750,3.0
751,0.0
752,0.0
753,0.0
754,3.0
755,4.0
756,4.0
757,5.0
758,4.0
759,3.0
760,3.0
761,3.0
762,3.0
763,3.0
764,0.0
765,3.0
766,2.0
767,2.0
768,2.0
769,1.0
770,0.0
771,0.0
772,0.0
773,2.0
774,1.0
775,1.0
776,1.0
777,0.0
778,0.0
779,1.0
780,1.0
781,3.0
782,3.0
783,2.0
784,2.0
785,3.0
786,5.0
787,3.0
788,3.0
789,3.0
790,3.0
791,4.0
792,4.0
793,5.0
794,4.0
795,3.0
796,3.0
797,3.0
798,3.0
799,4.0
800,2.0
801,2.0
802,2.0
803,2.0
804,2.0
805,0.0
806,0.0
807,2.0
808,1.0
809,1.0
810,1.0
811,0.0
812,0.0
813,1.0
814,1.0
815,2.0
816,2.0
817,3.0
818,2.0
819,2.0
820,4.0
821,6.0
822,5.0
823,4.0
824,3.0
825,3.0
826,3.0
827,4.0
828,4.0
829,1.0
830,3.0
831,3.0
832,3.0
833,4.0
834,1.0
835,3.0
836,1.0
837,1.0
838,1.0
839,1.0
840,1.0
841,1.0
842,1.0
843,1.0
844,1.0
845,0.0
846,0.0
847,1.0
848,1.0
849,2.0
850,2.0
851,2.0
852,0.0
853,1.0
854,3.0
855,4.0
856,5.0
857,6.0
858,6.0
859,4.0
860,2.0
861,3.0
862,4.0
863,4.0
864,3.0
865,3.0
866,3.0
867,4.0
868,3.0
869,3.0
870,2.0
871,1.0
872,1.0
873,1.0
874,1.0
875,1.0
876,1.0
877,1.0
878,1.0
879,0.0
880,0.0
881,0.0
882,0.0
883,2.0
884,2.0
885,1.0
886,1.0
887,0.0
888,2.0
889,3.0
890,3.0
891,0.0
892,0.0
893,5.0
894,5.0
895,3.0
896,3.0
897,1.0
898,4.0
899,3.0
900,2.0
901,3.0
902,3.0
903,3.0
904,3.0
905,1.0
906,1.0
907,1.0
908,1.0
909,0.0
910,1.0
911,1.0
912,1.0
913,0.0
914,0.0
915,0.0
916,0.0
917,1.0
918,1.0
919,2.0
920,1.0
921,1.0
922,1.0
923,2.0
924,2.0
925,3.0
926,0.0
927,0.0
928,5.0
929,5.0
930,5.0
931,4.0
932,1.0
933,3.0
934,2.0
935,3.0
936,3.0
937,3.0
938,3.0
939,0.0
940,1.0
941,1.0
942,1.0
943,0.0
944,0.0
945,1.0
946,1.0
947,0.0
948,0.0
949,0.0
950,0.0
951,1.0
952,1.0
953,1.0
954,0.0
955,1.0
956,1.0
957,1.0
958,2.0
959,2.0
960,2.0
961,0.0
962,0.0
963,6.0
964,7.0
965,3.0
966,4.0
967,3.0
968,2.0
969,3.0
970,3.0
971,3.0
972,3.0
973,1.0
974,1.0
975,1.0
976,1.0
977,0.0
978,0.0
979,0.0
980,1.0
981,0.0
982,0.0
983,0.0
984,0.0
985,1.0
986,1.0
987,1.0
988,1.0
989,0.0
990,1.0
991,1.0
992,1.0
993,4.0
994,2.0
995,5.0
996,0.0
997,0.0
998,6.0
999,6.0
1000,4.0
1001,4.0
1002,3.0
1003,3.0
1004,4.0
1005,3.0
1006,3.0
1007,3.0
1008,2.0
1009,2.0
1010,1.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,1.0
1020,1.0
1021,1.0
1022,1.0
1023,1.0
1024,1.0
1025,1.0
1026,1.0
1027,4.0
1028,4.0
1029,4.0
1030,6.0
1031,0.0
1032,0.0
1033,7.0
1034,6.0
1035,5.0
1036,4.0
1037,4.0
1038,3.0
1039,3.0
1040,3.0
1041,2.0
1042,2.0
1043,3.0
1044,4.0
1045,1.0
1046,0.0
1047,0.0
1048,0.0
1049,2.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,1.0
1056,1.0
1057,1.0
1058,2.0
1059,1.0
1060,1.0
1061,3.0
1062,2.0
1063,4.0
1064,4.0
1065,0.0
1066,0.0
1067,0.0
1068,5.0
1069,6.0
1070,6.0
1071,5.0
1072,4.0
1073,3.0
1074,3.0
1075,4.0
1076,4.0
1077,4.0
1078,3.0
1079,3.0
1080,4.0
1081,1.0
1082,0.0
1083,2.0
1084,2.0
1085,0.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,0.0
1091,1.0
1092,2.0
1093,2.0
1094,1.0
1095,3.0
1096,3.0
1097,4.0
1098,4.0
1099,2.0
1100,3.0
1101,3.0
1102,6.0
1103,6.0
1104,7.0
1105,7.0
1106,7.0
1107,7.0
1108,3.0
1109,2.0
1110,4.0
1111,4.0
1112,4.0
1113,4.0
1114,3.0
1115,4.0
1116,4.0
1117,3.0
1118,2.0
1119,2.0
1120,0.0
1121,0.0
1122,0.0
1123,0.0
1124,0.0
1125,0.0
1126,0.0
1127,1.0
1128,2.0
1129,2.0
1130,3.0
1131,3.0
1132,4.0
1133,5.0
1134,2.0
1135,3.0
1136,3.0
1137,7.0
1138,7.0
1139,8.0
1140,10.0
1141,8.0
1142,9.0
1143,6.0
1144,4.0
1145,6.0
1146,5.0
1147,5.0
1148,6.0
1149,5.0
1150,4.0
1151,3.0
1152,4.0
1153,3.0
1154,2.0
1155,0.0
1156,0.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,0.0
1163,1.0
1164,2.0
1165,2.0
1166,3.0
1167,3.0
1168,5.0
1169,2.0
1170,3.0
1171,6.0
1172,7.0
1173,7.0
1174,0.0
1175,10.0
1176,9.0
1177,10.0
1178,9.0
1179,12.0
1180,10.0
1181,8.0
1182,6.0
1183,5.0
1184,5.0
1185,4.0
1186,4.0
1187,3.0
1188,3.0
1189,2.0
1190,0.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,0.0
1198,1.0
1199,2.0
1200,2.0
1201,2.0
1202,2.0
1203,4.0
1204,5.0
1205,6.0
1206,7.0
1207,7.0
1208,10.0
1209,10.0
1210,11.0
1211,12.0
1212,11.0
1213,12.0
1214,13.0
1215,1.0
1216,16.0
1217,12.0
1218,10.0
1219,7.0
1220,7.0
1221,6.0
1222,5.0
1223,4.0
1224,4.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,1.0
1230,0.0
1231,0.0
1232,1.0
1233,2.0
1234,2.0
1235,2.0
1236,2.0
1237,2.0
1238,3.0
1239,5.0
1240,6.0
1241,7.0
1242,8.0
1243,10.0
1244,9.0
1245,0.0
1246,13.0
1247,14.0
1248,18.0
1249,20.0
1250,1.0
1251,20.0
1252,19.0
1253,13.0
1254,12.0
1255,9.0
1256,11.0
1257,9.0
1258,6.0
1259,4.0
1260,0.0
1261,0.0
1262,0.0
1263,1.0
1264,1.0
1265,1.0
1266,1.0
1267,1.0
1268,1.0
1269,2.0
1270,2.0
1271,2.0
1272,2.0
1273,3.0
1274,3.0
1275,4.0
1276,6.0
1277,6.0
1278,9.0
1279,10.0
1280,19.0
1281,0.0
1282,2.0
1283,0.0
1284,0.0
1285,1.0
1286,1.0
1287,1.0
1288,1.0
1289,0.0
1290,17.0
1291,13.0
1292,12.0
1293,8.0
1294,5.0
1295,0.0
1296,0.0
1297,1.0
1298,1.0
1299,1.0
1300,1.0
1301,1.0
1302,1.0
1303,1.0
1304,1.0
1305,2.0
1306,2.0
1307,2.0
1308,3.0
1309,3.0
1310,4.0
1311,5.0
1312,5.0
1313,9.0
1314,17.0
1315,21.0
1316,0.0
1317,0.0
1318,0.0
1319,1.0
1320,0.0
1321,1.0
1322,1.0
1323,1.0
1324,1.0
1325,19.0
1326,13.0
1327,13.0
1328,10.0
1329,7.0
1330,0.0
1331,1.0
1332,1.0
1333,1.0
1334,1.0
1335,1.0
1336,1.0
1337,1.0
1338,1.0
1339,1.0
1340,1.0
1341,2.0
1342,2.0
1343,3.0
1344,2.0
1345,4.0
1346,5.0
1347,7.0
1348,14.0
1349,18.0
1350,28.0
1351,27.0
1352,0.0
1353,1.0
1354,1.0
1355,0.0
1356,1.0
1357,2.0
1358,1.0
1359,0.0
1360,1.0
1361,18.0
1362,13.0
1363,10.0
1364,7.0
1365,1.0
1366,1.0
1367,1.0
1368,2.0
1369,2.0
1370,2.0
1371,2.0
1372,2.0
1373,2.0
1374,0.0
1375,2.0
1376,1.0
1377,2.0
1378,3.0
1379,4.0
1380,4.0
1381,5.0
1382,8.0
1383,14.0
1384,20.0
1385,26.0
1386,29.0
1387,37.0
1388,39.0
1389,1.0
1390,0.0
1391,2.0
1392,2.0
1393,1.0
1394,1.0
1395,0.0
1396,0.0
1397,13.0
1398,10.0
1399,8.0
1400,1.0
1401,1.0
1402,2.0
1403,2.0
1404,2.0
1405,0.0
1406,0.0
1407,0.0
1408,2.0
1409,2.0
1410,2.0
1411,2.0
1412,1.0
1413,3.0
1414,3.0
1415,4.0
1416,4.0
1417,7.0
1418,12.0
1419,18.0
1420,0.0
1421,0.0
1422,1.0
1423,1.0
1424,2.0
1425,0.0
1426,0.0
1427,0.0
1428,1.0
1429,45.0
1430,0.0
1431,0.0
1432,15.0
1433,11.0
1434,8.0
1435,1.0
1436,2.0
1437,2.0
1438,2.0
1439,2.0
1440,0.0
1441,0.0
1442,0.0
1443,2.0
1444,2.0
1445,2.0
1446,2.0
1447,4.0
1448,3.0
1449,3.0
1450,4.0
1451,4.0
1452,7.0
1453,13.0
1454,0.0
1455,0.0
1456,1.0
1457,0.0
1458,0.0
1459,0.0
1460,0.0
1461,0.0
1462,0.0
1463,73.0
1464,66.0
1465,0.0
1466,34.0
1467,19.0
1468,14.0
1469,10.0
1470,2.0
1471,2.0
1472,2.0
1473,2.0
1474,0.0
1475,0.0
1476,0.0
1477,3.0
1478,3.0
1479,2.0
1480,2.0
1481,2.0
1482,3.0
1483,3.0
1484,3.0
1485,4.0
1486,4.0
1487,7.0
1488,21.0
1489,0.0
1490,47.0
1491,0.0
1492,0.0
1493,0.0
1494,0.0
1495,0.0
1496,1.0
1497,0.0
1498,1.0
1499,72.0
1500,54.0
1501,40.0
1502,28.0
1503,14.0
1504,9.0
1505,2.0
1506,2.0
1507,2.0
1508,2.0
1509,0.0
1510,0.0
1511,0.0
1512,0.0
1513,3.0
1514,2.0
1515,2.0
1516,2.0
1517,3.0
1518,2.0
1519,3.0
1520,4.0
1521,4.0
1522,10.0
1523,26.0
1524,1.0
1525,57.0
1526,0.0
1527,0.0
1528,0.0
1529,0.0
1530,0.0
1531,0.0
1532,1.0
1533,0.0
1534,0.0
1535,2.0
1536,48.0
1537,33.0
1538,26.0
1539,12.0
1540,2.0
1541,2.0
1542,2.0
1543,2.0
1544,0.0
1545,0.0
1546,0.0
1547,0.0
1548,0.0
1549,2.0
1550,2.0
1551,2.0
1552,3.0
1553,3.0
1554,3.0
1555,4.0
1556,6.0
1557,15.0
1558,33.0
1559,46.0
1560,57.0
1561,68.0
1562,0.0
1563,0.0
1564,2.0
1565,3.0
1566,92.0
1567,2.0
1568,0.0
1569,0.0
1570,57.0
1571,0.0
1572,32.0
1573,29.0
1574,18.0
1575,0.0
1576,2.0
1577,2.0
1578,2.0
1579,2.0
1580,0.0
1581,0.0
1582,0.0
1583,0.0
1584,2.0
1585,2.0
1586,2.0
1587,3.0
1588,3.0
1589,3.0
1590,4.0
1591,7.0
1592,15.0
1593,34.0
1594,45.0
1595,54.0
1596,65.0
1597,1.0
1598,1.0
1599,1.0
1600,96.0
1601,97.0
1602,1.0
1603,1.0
1604,5.0
1605,1.0
1606,52.0
1607,42.0
1608,33.0
1609,21.0
1610,1.0
1611,0.0
1612,2.0
1613,2.0
1614,2.0
1615,0.0
1616,0.0
1617,0.0
1618,0.0
1619,2.0
1620,2.0
1621,3.0
1622,2.0
1623,3.0
1624,3.0
1625,3.0
1626,9.0
1627,14.0
1628,36.0
1629,44.0
1630,46.0
1631,55.0
1632,5.0
1633,69.0
1634,87.0
1635,0.0
1636,93.0
1637,1.0
1638,5.0
1639,2.0
1640,55.0
1641,58.0
1642,51.0
1643,38.0
1644,27.0
1645,1.0
1646,0.0
1647,0.0
1648,2.0
1649,2.0
1650,2.0
1651,0.0
1652,0.0
1653,2.0
1654,2.0
1655,2.0
1656,2.0
1657,2.0
1658,2.0
1659,2.0
1660,3.0
1661,7.0
1662,13.0
1663,34.0
1664,43.0
1665,44.0
1666,50.0
1667,4.0
1668,2.0
1669,81.0
1670,92.0
1671,80.0
1672,71.0
1673,65.0
1674,61.0
1675,63.0
1676,66.0
1677,57.0
1678,42.0
1679,33.0
1680,1.0
1681,1.0
1682,0.0
1683,0.0
1684,2.0
1685,2.0
1686,2.0
1687,2.0
1688,2.0
1689,2.0
1690,1.0
1691,1.0
1692,1.0
1693,2.0
1694,2.0
1695,2.0
1696,6.0
1697,8.0
1698,28.0
1699,41.0
1700,44.0
1701,46.0
1702,51.0
1703,59.0
1704,71.0
1705,73.0
1706,80.0
1707,66.0
1708,54.0
1709,54.0
1710,70.0
1711,67.0
1712,56.0
1713,38.0
1714,33.0
1715,2.0
1716,1.0
1717,1.0
1718,1.0
1719,1.0
1720,1.0
1721,1.0
1722,1.0
1723,1.0
1724,1.0
1725,1.0
1726,1.0
1727,0.0
1728,1.0
1729,2.0
1730,2.0
1731,4.0
1732,8.0
1733,16.0
1734,36.0
1735,40.0
1736,44.0
1737,48.0
1738,50.0
1739,51.0
1740,53.0
1741,48.0
1742,41.0
1743,40.0
1744,47.0
1745,65.0
1746,66.0
1747,50.0
1748,37.0
1749,34.0
1750,1.0
1751,2.0
1752,1.0
1753,1.0
1754,1.0
1755,1.0
1756,1.0
1757,1.0
1758,1.0
1759,1.0
1760,1.0
1761,0.0
1762,0.0
1763,0.0
1764,1.0
1765,2.0
1766,2.0
1767,7.0
1768,8.0
1769,21.0
1770,34.0
1771,39.0
1772,41.0
1773,42.0
1774,40.0
1775,37.0
1776,31.0
1777,28.0
1778,36.0
1779,52.0
1780,63.0
1781,56.0
1782,47.0
1783,42.0
1784,36.0
1785,1.0
1786,1.0
1787,2.0
1788,1.0
1789,1.0
1790,1.0
1791,1.0
1792,1.0
1793,1.0
1794,1.0
1795,0.0
1796,0.0
1797,0.0
1798,0.0
1799,0.0
1800,2.0
1801,2.0
1802,2.0
1803,7.0
1804,8.0
1805,19.0
1806,27.0
1807,31.0
1808,25.0
1809,23.0
1810,24.0
1811,19.0
1812,20.0
1813,23.0
1814,39.0
1815,45.0
1816,52.0
1817,50.0
1818,50.0
1819,39.0
1820,1.0
1821,1.0
1822,1.0
1823,2.0
1824,1.0
1825,1.0
1826,0.0
1827,0.0
1828,1.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,1.0
1835,1.0
1836,2.0
1837,2.0
1838,2.0
1839,4.0
1840,5.0
1841,9.0
1842,11.0
1843,9.0
1844,10.0
1845,15.0
1846,12.0
1847,14.0
1848,21.0
1849,38.0
1850,45.0
1851,54.0
1852,55.0
1853,55.0
1854,50.0
1855,0.0
1856,0.0
1857,1.0
1858,1.0
1859,2.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,2.0
1871,2.0
1872,2.0
1873,2.0
1874,4.0
1875,5.0
1876,5.0
1877,5.0
1878,6.0
1879,7.0
1880,14.0
1881,16.0
1882,17.0
1883,21.0
1884,38.0
1885,47.0
1886,50.0
1887,50.0
1888,52.0
1889,55.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,1.0
1895,1.0
1896,0.0
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,1.0
1905,1.0
1906,2.0
1907,2.0
1908,2.0
1909,4.0
1910,4.0
1911,5.0
1912,5.0
1913,6.0
1914,6.0
1915,7.0
1916,15.0
1917,17.0
1918,25.0
1919,38.0
1920,48.0
1921,52.0
1922,54.0
1923,61.0
1924,59.0
1925,0.0
1926,0.0
1927,0.0
1928,0.0
1929,0.0
1930,1.0
1931,1.0
1932,0.0
1933,0.0
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,1.0
1941,1.0
1942,2.0
1943,2.0
1944,3.0
1945,4.0
1946,4.0
1947,5.0
1948,6.0
1949,6.0
1950,6.0
1951,13.0
1952,13.0
1953,24.0
1954,33.0
1955,46.0
1956,56.0
1957,57.0
1958,63.0
1959,58.0
1960,0.0
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,1.0
1966,1.0
1967,1.0
1968,0.0
1969,0.0
1970,0.0
1971,0.0
1972,0.0
1973,0.0
1974,0.0
1975,0.0
1976,1.0
1977,1.0
1978,2.0
1979,2.0
1980,3.0
1981,2.0
1982,4.0
1983,6.0
1984,6.0
1985,6.0
1986,6.0
1987,13.0
1988,26.0
1989,34.0
1990,42.0
1991,56.0
1992,56.0
1993,57.0
1994,55.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,1.0
2001,1.0
2002,1.0
2003,1.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,0.0
2011,0.0
2012,1.0
2013,1.0
2014,2.0
2015,3.0
2016,3.0
2017,3.0
2018,5.0
2019,5.0
2020,5.0
2021,6.0
2022,10.0
2023,25.0
2024,32.0
2025,47.0
2026,47.0
2027,45.0
2028,45.0
2029,43.0
2030,0.0
2031,0.0
2032,0.0
2033,0.0
2034,0.0
2035,1.0
2036,1.0
2037,1.0
2038,1.0
2039,1.0
2040,0.0
2041,0.0
2042,0.0
2043,0.0
2044,0.0
2045,0.0
2046,0.0
2047,0.0
2048,1.0
2049,1.0
2050,2.0
2051,3.0
2052,3.0
2053,4.0
2054,5.0
2055,5.0
2056,6.0
2057,8.0
2058,21.0
2059,29.0
2060,42.0
2061,45.0
2062,45.0
2063,45.0
2064,37.0
2065,0.0
2066,0.0
2067,0.0
2068,0.0
2069,0.0
2070,1.0
2071,1.0
2072,1.0
2073,1.0
2074,0.0
2075,0.0
2076,0.0
2077,0.0
2078,0.0
2079,0.0
2080,0.0
2081,0.0
2082,0.0
2083,0.0
2084,1.0
2085,1.0
2086,2.0
2087,2.0
2088,3.0
2089,4.0
2090,4.0
2091,5.0
2092,7.0
2093,14.0
2094,25.0
2095,36.0
2096,42.0
2097,41.0
2098,36.0
2099,35.0
2100,0.0
2101,0.0
2102,0.0
2103,0.0
2104,0.0
2105,1.0
2106,1.0
2107,1.0
2108,0.0
2109,0.0
2110,0.0
2111,0.0
2112,0.0
2113,0.0
2114,0.0
2115,0.0
2116,0.0
2117,0.0
2118,0.0
2119,0.0
2120,1.0
2121,1.0
2122,2.0
2123,2.0
2124,2.0
2125,2.0
2126,5.0
2127,7.0
2128,11.0
2129,17.0
2130,28.0
2131,35.0
2132,31.0
2133,34.0
2134,32.0
